nazwa_stacji,szerokosc_geo,dlugosc_geo
Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
E 35 St & Madison Ave,40.74848023448579,-73.98255586624146
W 44 St & 5 Ave,40.75500254,-73.98014437
W 59 St & 10 Ave,40.770513,-73.988038
Underhill Ave & Pacific St,40.6804836,-73.9646795
Pearl St & Hanover Square,40.7047177,-74.00926027
Greenwich St & W Houston St,40.728846,-74.008591
Howard St & Lafayette St,40.71910537,-73.99973337
W 34 St & 11 Ave,40.75594159,-74.0021163
Vesey St & Greenwich St,40.71254669463547,-74.01113051087516
31 Pl & Hunters Point Ave,40.74021356884924,-73.93537044525146
Grand St & Greene St,40.72170005235607,-74.00238141417502
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915
9 Ave & W 33 St,40.752568,-73.996765
W 33 St & 10 Ave,40.753773368360385,-73.99937599897385
West Thames St,40.70834698,-74.01713445
E 40 St & Park Ave,40.750756,-73.978326
Bleecker St & Crosby St,40.72615604980408,-73.99510189890862
W 56 St & 8 Ave,40.765959181657976,-73.98313522338867
W 40 St & 7 Ave,40.754818,-73.988154
E 5 St & Cooper Sq,40.72769,-73.990993
South St & Whitehall St,40.70122128,-74.01234218
Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
Pearl St & Whitehall St,40.703144,-74.013178
N 12 St & Bedford Ave,40.72079821,-73.95484712
1 Ave & E 38 St,40.746202,-73.971822
West St & Liberty St,40.711444,-74.014847
Eastern Pkwy & Washington Ave,40.6716493,-73.9631145
Greene St & Prince St,40.72511734422387,-73.99930492043495
1 Ave & E 6 St,40.72633085971696,-73.98616880178452
3 Ave & E 62 St,40.76313,-73.96527
4 Ave & E 12 St,40.732647,-73.99011
Reade St & Broadway,40.71450451,-74.00562789
Carmine St & 6 Ave,40.73038599,-74.00214988
W 51 St & 6 Ave,40.7606597,-73.98042047
Park Circle & East Dr,40.651566,-73.972212
E 43 St & Madison Ave,40.75354681867074,-73.97896572947502
Warren St & Court St,40.686371,-73.99383324
Barclay St & Church St,40.71291224,-74.01020234
Greenwich St & Rector St,40.70806582380646,-74.0135595202446
Madison Ave & E 26 St,40.742684734875695,-73.98671329021454
5 Ave & E 72 St,40.77282817,-73.96685276
Sullivan St & Washington Sq,40.73047747,-73.99906065
Central Park W & W 76 St,40.77896784,-73.97374737
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
6 Ave & W 33 St,40.74901271,-73.98848395
Hudson Blvd W & W 36 St,40.75676475086503,-73.99971440439913
Windsor Pl & Howard Pl,40.659490558938955,-73.98013919591904
5 Ave & E 63 St,40.766368,-73.971518
W 37 St & Broadway,40.75227093837409,-73.98770570755005
South St & Gouverneur Ln,40.70355377,-74.00670227
